# SGY_fanqie: Database of Guangyun (廣韻) 3,874 Xiaoyun Representative Characters
#
# Version: 1.1.0
# Date: 6 June 2026
# Last modified: 16 July 2026
#
# Copyright (c) 2026 IKEDA Shoju (Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# CSV Format information:
#
# hanzi                  Chinese character headword in Guangyun (廣韻の見出し字)
# hanzi_alt              Chinese character headword in Qieyun (切韻の見出し字)
# fanqie                 Fanqie in Guangyun (廣韻反切)
# fanqie_alt             Fanqie in Qieyun (切韻反切)
# entry_no               Serial entry number
# fanqie_note            Textual notes on differences among Qieyun系 documents (Qieyun, Wang I/II/III, Tangyun, Guangyun, etc.)
# volume_rhyme_yunmu_raw Volume, sequence number, and rhyme in Guangyun (廣韻の巻・序数・韻)
# volume_rhyme_yunmu     Volume, sequence number, and rhyme in Qieyun (切韻の巻・序数・韻)
# word_id                Location of the character in Guangyun (廣韻所在); corresponding ID in sbgy.xml (8-digit number excluding 'w' prefix)
# wuyun                  Traditional Five Tones classification (五音: 舌音, 唇音, etc.)
# qingzhuo               Fourfold classification of voicing (清濁: 全清, 次清, 全濁, 次濁)
# shengmu                Initial consonant (声母) based on the Thirty-Six Initials (三十六字母) system (Song Dynasty style)
# shengmu_deng           Initial consonant with division (等) number
#
# Features:
# This dataset features an independent initial consonant (声母) classification system
# separate from sbgy.xml and Guangyun.csv (see wuyun / qingzhuo / shengmu / shengmu_deng above).
# The 'fanqie_note' column enables comparative analysis with various Qieyun-lineage primary sources.
#
# Data Quality Notes:
# - The following columns present in earlier working versions of this file were derived
#   from non-original (third-party) data and have been removed as of this revision:
#   rhyme_num, tone_volume_code, rhyme_id, entry_index, entry_subindex,
#   she_kaihe_deng, fanqie_marked.
# - This dataset was compiled and revised intermittently over more than a decade.
#   During that process, a linking error caused misalignment in the 'fanqie_note'
#   column. The affected entries have been corrected to the extent currently possible,
#   but a full, systematic verification of 'fanqie_note' across the entire dataset
#   has not yet been completed. Users should treat 'fanqie_note' with corresponding
#   caution until this review is finished.
hanzi,hanzi_alt,fanqie,fanqie_alt,entry_no,fanqie_note,volume_rhyme_yunmu_raw,volume_rhyme_yunmu,word_id,wuyun,qingzhuo,shengmu,shengmu_deng
烘,烘,呼東,呼同,32,切2 王2 P3798 呼紅 王3 呼[  ] P2014-1 呼東 広,1:01:東,1:01:東,112b0404,喉音,全清,曉,曉1
檧,⿰木䓗,蘇公,蘇公,33,切2 王2 王3 P2014-1 広 ナシ P3798 ,1:01:東,1:01:東,112b0601,齒音,全清,心,心1
㟅,㟅,五東,五公,34,切2 五東 広 ナシ 王2 王3 P3798 ,1:01:東,1:01:東,112b0505,牙音,清濁,疑,疑1
,𣚜,,宜弓,35,,,1:01:東,,,,,疑3
冬,冬,都宗,都宗,36,切2 王2 王3 P2014-1 P2015 P2018 P3798 広/切2 王2 王3 P2016 P2017 広,1:2:冬,1:02:冬,112b0701,舌音,全清,端,端1
彤,彤,徒冬,徒冬,37,切2 王2 王3 P2014-1 P2015-1 P2018 P3798 広,1:2:冬,1:02:冬,112b0804,舌音,全濁,定,定1
賨,賨,藏宗,在宗,38,切2 王2 王3 祖冬 P2014-1 P2015-1 藏宗 P2018 広,1:2:冬,1:02:冬,113a0203,齒音,全濁,從,從1
農,農,奴冬,奴冬,39,王2 王3 P2014-1 P2015-1 P3798 広 奴東 切2,1:2:冬,1:02:冬,113a0405,舌音,清濁,泥,泥1
,恭,,駒冬,40,,,1:02:冬,,,,,見3
,蜙,,先恭,41,,,1:02:冬,,,,,心4
,樅,,七恭,42,,,1:02:冬,,,,,清4
攻,攻,古冬,古冬,43,切2 王2 王3 P3798 広 ,1:2:冬,1:02:冬,113a0702,牙音,全清,見,見1
䃔,䃔,戸冬,戸冬,44,切2 王2 王3 P2014-1夅 P2015-1夅 P2018 P3798 広,1:2:冬,1:02:冬,113a0704,喉音,全濁,匣,匣1
䃧,䃧,力冬,力宗,45,切2 王2 王3 力[  ] P3798 力冬 P2015-1 P2018 広,1:2:冬,1:02:冬,113a0803,半舌音,清濁,來,來1
宗,宗,作冬,作琮,46,王2 王3 作綜 切2 作冬 P2018 広 祖琮 P2014-1 P2015-1,1:2:冬,1:02:冬,113a0806,齒音,全清,精,精1
鬆,鬆,私宗,私宗,47,切2 ⿱髟夅 広 ナシ 王2 王3 P2014-1 P2015-1 P3798,1:2:冬,1:02:冬,113a1002,齒音,全清,心,心1
,銎,,曲恭,48,,,1:02:冬,,,,,渓3
,⿰镸⿴囗卄,,此⿰阝宗,49,,,1:02:冬,,,,,清1
,鄷,,敷隆,50,,,1:02:冬,,,,,滂3
炵,炵,他冬,他冬,51,広 ナシ 切2 王2 王3 P2014-1 P2015-1 P3798,1:2:冬,1:02:冬,113a1004,舌音,次清,透,透1
鍾,鍾,職容,職容,52,切2 王2 王3 P2015-1 P3798 広/切2 王2 王3 P2016 P2017 広 ,1:3:鍾,1:03:鍾,113b0101,齒音,全清,照三,章3
龍,龍,力鍾,力鍾,53,切2 王2 王3 P2018 P3798 広 ,1:3:鍾,1:03:鍾,113b0408,半舌音,清濁,來,來3
舂,舂,書容,書容,54,王2 王3 P2018 P3798 広 ,1:3:鍾,1:03:鍾,113b0604,齒音,全清,審三,書3
松,松,祥容,詳容,55,王2 王3 祥容 P2018 P3798 広 羊容 切2,1:3:鍾,1:03:鍾,113b0706,齒音,全濁,邪,邪4
𧘂,衝,尺容,尺容,56,王2 王3 P2018 P3798 広 尸容 切2 昌容 P2015-1,1:3:鍾,1:03:鍾,113b0902,齒音,次清,穿三,昌3
容,容,餘封,餘封,57,切2 王2 王3 広 餘[  ] P3798 以恭 P2018,1:3:鍾,1:03:鍾,113b1008,喉音,清濁,喩,羊4
封,封,府容,府容,58,切2 王2 王3 P2018 広 ,1:3:鍾,1:03:鍾,114a0707,唇音,全清,非,幫3
胷,胷,許容,許容,59,切2 王2凶 王3 P2018 P3696-1 広 [  ]容 P3798,1:3:鍾,1:03:鍾,114a0903,喉音,全清,曉,曉3
顒,顒,魚容,魚容,60,切2 王2 王3 P2018 P3696-1 広 ,1:3:鍾,1:03:鍾,114b0102,牙音,清濁,疑,疑3
邕,邕,於容,於容,61,切2 王2 王3 P2018 P3696-1 広 ,1:3:鍾,1:03:鍾,114b0202,喉音,全清,影,影3
醲,醲,女容,女容,62,切2 王2 王3 P3696-1 広 ,1:3:鍾,1:03:鍾,114b0503,舌音,清濁,孃,泥3
重,重,直容,治容,63,切2 P3696-1 直容 王2 王3 広 ,1:3:鍾,1:03:鍾,114b0604,舌音,全濁,澄,定3
從,從,疾容,疾容,64,切2 王2 王3 P3696-1 広 ,1:3:鍾,1:03:鍾,114b0704,齒音,全濁,從,從4
蹱,蹱,丑凶,丑凶,65,切2蹤 王2 王3 P3696-1 広 ,1:3:鍾,1:03:鍾,114b0803,舌音,次清,徹,透3
逢,逢,符容,符容,66,切2 王2 王3 P3696-1 広 [  ]容 切3,1:3:鍾,1:03:鍾,114b0904,唇音,全濁,奉,並3
峯,峯,敷容,敷容,67,切2 王2 王3 P3696-1 広 敷[  ] 切3,1:3:鍾,1:03:鍾,115a0101,唇音,次清,敷,滂3
縱,縱,即容,即容,68,切2 切3 王2 王3 P3696-1 広,1:3:鍾,1:03:鍾,115a0307,齒音,全清,精,精4
茸,茸,而容,而容,69,切2 王2 王3 P2015-1 P3696-1 広,1:3:鍾,1:03:鍾,115a0502,半齒音,清濁,日,日3
蛩,蛩,渠容,渠容,70,王2 王3 P3696-1 広 渠用 切2 渠[  ] 切3,1:3:鍾,1:03:鍾,115a0606,牙音,全濁,羣,羣3
鱅,鱅,蜀庸,蜀容,71,切2 王2 王3 P2015-1 P3696-1 蜀庸 広 ,1:3:鍾,1:03:鍾,115a1001,齒音,全濁,禪,常3
銎,銎,曲恭,曲恭,72,王2 広 ナシ 切2 王3 P3696-1,1:3:鍾,1:03:鍾,115b0605,牙音,次清,溪,溪3
恭,恭,九容,九容,73,広 ナシ 切2 王2 王3 P3696-1,1:3:鍾,1:03:鍾,115a1004,牙音,全清,見,見3
蜙,蜙,息恭,息恭,74,広 ナシ 切2 王2 王3 P3696-1,1:3:鍾,1:03:鍾,115b0303,齒音,全清,心,心4
樅,樅,七恭,七恭,75,広 ナシ 切2 王2 王3 P3696-1,1:3:鍾,1:03:鍾,115b0403,齒音,次清,清,清4
江,江,古雙,古雙,76,切2 王2 王3 P3696-1 広 [  ]雙 切3/切2 王2 王3 P2016 広 [  ]雙 P2017,1:4:江,1:04:江,115b0701,牙音,全清,見,見2
厖,厖,莫江,莫江,77,切2 王2 王3 P3696-1 広,1:4:江,1:04:江,115b1004,唇音,清濁,明,明2
𦗳,𦗳,女江,女江,78,切3 王2 王3 広 女紅 切2,1:4:江,1:04:江,116a0204,舌音,清濁,孃,泥2
囱,窓,楚江,楚江,79,切2 切3 王2 王3 P3696-1 広,1:4:江,1:04:江,116a0305,齒音,次清,穿二,初2
邦,邦,博江,博江,80,切2 王2 王3 P3696-1 広,1:4:江,1:04:江,116a0502,唇音,全清,幫,幫2
栙,栙,下江,下江,81,王2 王3 P3696-1 広 [  ]江 切2,1:4:江,1:04:江,116a0506,喉音,全濁,匣,匣2
胮,胮,匹江,匹江,82,切3 王2 P3696-1 広 也江 切2 柏江 王3,1:4:江,1:04:江,116a0702,唇音,次清,滂,滂2
瀧,瀧,呂江,呂江,83,切2 切3 王2 王3 P3696-1 広,1:4:江,1:04:江,116a0707,半舌音,清濁,來,來2
雙,雙,所江,所江,84,切2 切3 王2 王3 P3696-1 広,1:4:江,1:04:江,116a0802,齒音,全清,審二,生2
龐,龐,薄江,薄江,85,切2 王2 P3696-1 広 蒲江 王3,1:4:江,1:04:江,116a0906,唇音,全濁,並,並2
肛,肛,許江,許江,86,切2 王2 王3 P3696-1 広,1:4:江,1:04:江,116b0101,喉音,全清,曉,曉2
腔,腔,苦江,苦江,87,切2 切3 王2 王3 P3696-1 広,1:4:江,1:04:江,116b0106,牙音,次清,溪,溪2
幢,幢,宅江,宅江,88,切2 王2 王3 広,1:4:江,1:04:江,116b0304,舌音,全濁,澄,定2
憃,憃,丑江,丑江,89,切2 王2 王3 P3696-1 広,1:4:江,1:04:江,116b0501,舌音,次清,徹,透2
樁,樁,都江,都江,90,切2 切3 王2 王3 P3696-1 広,1:4:江,1:04:江,116b0601,舌音,全清,端,端2
胦,胦,握江,握江,91,広 ナシ 切2 切3 王2 王3 P3696-1,1:4:江,1:04:江,116b0105,喉音,全清,影,影2
㟅,㟅,五江,五江,92,広 ナシ 切2 切3 王2 王3 P3696-1,1:4:江,1:04:江,116b0603,牙音,清濁,疑,疑2
淙,淙,士江,士江,93,広 ナシ 切2 切3 王2 王3 P3696-1,1:4:江,1:04:江,116b0604,齒音,全濁,牀二,崇2
支,支,章移,章移,94,切2 切3 王2 王3 P3696-1 広/切2 王2 王3 P2016 P2017 広,1:5:支,1:05:支,116b0801,齒音,全清,照三,章開3
移,移,弋支,弋支,95,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,117a0401,喉音,清濁,喩,羊開4
爲,爲,薳支,薳支,96,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,117a1005,喉音,清濁,于,于合B
嬀,嬀,居爲,居爲,97,切2 切3 王2 P3696-1 広 君爲 王3,1:5:支,1:05:支,117b0203,牙音,全清,見,見合B
𪎮,麾,許爲,許爲,98,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,117b0302,喉音,全清,曉,曉合B
逶,逶,於爲,於爲,99,切2 王2 王3 P3696-1 広,1:5:支,1:05:支,117b0405,喉音,全清,影,影合B
糜,糜,靡爲,靡爲,100,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,117b0601,唇音,清濁,明,明B
隓,隳,許規,許規,101,切2 王2 P3696-1 広 許隨 王3,1:5:支,1:05:支,117b0705,喉音,全清,曉,曉合A
鬌,鬌,直垂,直垂,102,切2 王2 王3 P3696-1 広,1:5:支,1:05:支,117b0904,舌音,全濁,澄,定合3
𡍮,垂,是爲,是爲,103,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,117b1002,齒音,全濁,禪,常合3
羸,羸,力爲,力爲,104,切2 王2 王3 P3696-1 広,1:5:支,1:05:支,118a0106,半舌音,清濁,來,來合3
吹,吹,昌垂,昌爲,105,切2 王2 王3 P3696-1 昌垂 広,1:5:支,1:05:支,118a0202,齒音,次清,穿三,昌合3
鈹,鈹,敷羈,敷羈,106,王2 王3 P3696-1 広 普羈 切2,1:5:支,1:05:支,118a0205,唇音,次清,滂,滂B
陂,陂,彼爲,彼爲,107,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,118a0405,唇音,全清,幫,幫B
隨,隨,旬爲,旬爲,108,切2 王2 王3 P3696-1 広,1:5:支,1:05:支,118a0701,齒音,全濁,邪,邪合4
虧,虧,去爲,去爲,109,切2 王2 王3 P3696-1 広,1:5:支,1:05:支,118a0802,牙音,次清,溪,溪合B
闚,闚,去隨,去隨,110,切2 切3 王2 王3 広 去隳 P3696-1,1:5:支,1:05:支,118a0803,牙音,次清,溪,溪合A
竒,竒,渠羈,渠羈,111,切2 王2 王3 P3696-1 広,1:5:支,1:05:支,118a0902,牙音,全濁,羣,羣開B
祇,祇,巨支,巨支,112,切2 王2 王3 P3696-1 広,1:5:支,1:05:支,118b0104,牙音,全濁,羣,羣開A
犧,犧,許羈,許羈,113,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,118b0606,喉音,全清,曉,曉開B
㩻,㩻,去奇,去奇,114,切2 切3 王2 王3 広,1:5:支,1:05:支,118b0907,牙音,次清,溪,溪開B
宜,宜,魚羈,魚羈,115,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,119a0104,牙音,清濁,疑,疑開B
皮,皮,符羈,符羈,116,切2 王2 王3 西 広,1:5:支,1:05:支,119a0401,唇音,全濁,並,並B
提,提,是支,是支,117,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,119a0503,齒音,全濁,禪,常開3
兒,兒,汝移,汝移,118,切2 王2 広 如移 王3,1:5:支,1:05:支,119a0705,半齒音,清濁,日,日開3
離,離,呂支,呂移,119,切2 王2 王3 呂支 広,1:5:支,1:05:支,119a0804,半舌音,清濁,來,來開3
疵,疵,疾移,疾移,120,切2 王1 王2 王3 P3696-1 広,1:5:支,1:05:支,119b0504,齒音,全濁,從,從開4
貲,貲,即移,即移,121,切2 王2 王3 広 [  ]移 切3,1:5:支,1:05:支,119b0605,齒音,全清,精,精開4
羈,羈,居宜,居宜,122,切2 王1 王2 王3 広,1:5:支,1:05:支,119b1002,牙音,全清,見,見開B
卑,卑,府移,府移,123,切3 王3 広 必移 王2,1:5:支,1:05:支,120a0201,唇音,全清,幫,幫A
陴,陴,符支,符支,124,王1 王3 広 頻移 王2禆,1:5:支,1:05:支,120a0405,唇音,全濁,並,並A
䌳,絁,式支,式支,125,切2 王2 王3 広,1:5:支,1:05:支,120a0705,齒音,全清,審三,書開3
斯,斯,息移,息移,126,王1 王2 王3 広 [  ]移 切3,1:5:支,1:05:支,120a1001,齒音,全清,心,心開4
差,差,楚宜,楚宜,127,王1 王2 王3 広,1:5:支,1:05:支,120b0502,齒音,次清,穿二,初開2
摛,摛,丑知,丑知,128,王1 王2 王3 広,1:5:支,1:05:支,120b0601,舌音,次清,徹,透開3
彌,彌,武移,武移,129,王2 王3 広,1:5:支,1:05:支,120b0704,唇音,清濁,明,明A
雌,雌,此移,七移,130,王2 王3 此移 広,1:5:支,1:05:支,120b1006,齒音,次清,清,清開4
知,知,陟離,陟移,131,王2 王3 陟離 王1 広,1:5:支,1:05:支,121a0105,舌音,全清,知,端開3
漪,漪,於離,於離,132,切3 王1 王2 王3 広,1:5:支,1:05:支,121a0206,喉音,全清,影,影開B
馳,馳,直離,直知,133,切3 王2 王3 直離 広,1:5:支,1:05:支,121a0406,舌音,全濁,澄,定開3
眭,眭,息爲,息爲,134,王1 王2 王3 広,1:5:支,1:05:支,121a0804,齒音,全清,心,心合4
危,危,魚爲,魚爲,135,切3 王1 王2 王3 広,1:5:支,1:05:支,121a0805,牙音,清濁,疑,疑合B
詑,訑,香支,香支,136,切3 王2 王3 広,1:5:支,1:05:支,121a0904,喉音,全清,曉,曉開A
眵,眵,叱支,叱支,137,王2 王3 広 [  ]支 切3,1:5:支,1:05:支,121b0605,齒音,次清,穿三,昌開3
釃,釃,所宜,所宜,138,切3 王1 王2 王3 広 祈宜 切2,1:5:支,1:05:支,121a1001,齒音,全清,審二,生開2
䪎,䪎,山垂,山垂,139,切2 切3 王2 王3 P3696-1 広,1:5:支,1:05:支,121b0103,齒音,全清,審二,生合2
痿,痿,人垂,人垂,140,切2 切3 王3 広 於垂 王2,1:5:支,1:05:支,121b0105,半齒音,清濁,日,日合3
厜,厜,姉宜,姉規,141,切2 切3 王1 王2 王3 [  ]規 P3696-1 姊宜 広,1:5:支,1:05:支,121b0202,齒音,全清,精,精合4
𩓸,槻,居隋,居隨,142,切3 王2 王3 居⿱隋人 切2 居[  ] P3696-1 居隋 広,1:5:支,1:05:支,121b0303,牙音,全清,見,見合A
劑,劑,遵爲,觜隨,143,切2 切3 王1 王2 王3 P3696-1 遵爲 広,1:5:支,1:05:支,121b0404,齒音,全清,精,精合4
衰,衰,楚危,楚危,144,切2 切3 王2 王3 P3696-1 広 楚[  ] 王1,1:5:支,1:05:支,121b0505,齒音,次清,穿二,初合2
腄,腄,竹垂,竹垂,145,切2 切3 王2 王3 広,1:5:支,1:05:支,121b0601,舌音,全清,知,端合3
䔺,⿱𧣽黽,悦吹,與規,146,王2 悦吹 広䔺 ナシ 切2 切3 王3,1:5:支,1:05:支,121b0704,喉音,清濁,喩,羊合4
𤿎,𢞗,匹支,匹卑,147,王2 匹支 広𢞗 ナシ 切2 切3 王3,1:5:支,1:05:支,121b0703,唇音,次清,滂,滂A
齜,齜,側宜,側宜,148,広 ナシ 切2 切3 王2 王3,1:5:支,1:05:支,121b0702,齒音,全清,照二,莊開2
齹,齹,士宜,士宜,149,広 ナシ 切2 切3 王2 王3,1:5:支,1:05:支,121b0806,齒音,全濁,牀二,崇開2
䮔,䮔,子垂,子垂,150,,1:5:支,1:05:支,121b0604,齒音,全清,精,精合3
脂,脂,旨夷,旨夷,151,切2 切3 王2 王3 P3696-1 広/切2 切3 P2016 P2017 広 章夷 王3,1:6:脂,1:06:脂,121b1001,齒音,全清,照三,章開3
姨,姨,以脂,以脂,152,切2 切3 王2 王3 P3696-1 広,1:6:脂,1:06:脂,122a0204,喉音,清濁,喩,羊開4
師,師,疏夷,踈脂,153,切2 切3 王2 王3 䟽夷 広,1:6:脂,1:06:脂,122a0906,齒音,全清,審二,生開2
𣬈,毗,房脂,房脂,154,切2 切3 西 王2 王3 広,1:6:脂,1:06:脂,122b0306,唇音,全濁,並,並A
咨,咨,即夷,即脂,155,切2 切3 王2 P3696-1 即夷 王3 広,1:6:脂,1:06:脂,122b0802,齒音,全清,精,精開4
飢,飢,居夷,居脂,156,切2 切3 王2 王3 居夷 広,1:6:脂,1:06:脂,122b1005,牙音,全清,見,見開B
鴟,鴟,處脂,處脂,157,切3 王2 王3 P3696-1 広 處指 切2 ,1:6:脂,1:06:脂,123a0104,齒音,次清,穿三,昌開3
絺,絺,丑飢,丑脂,158,切3 王2 王3 P3696-1 丑指 切2 丑飢 広,1:6:脂,1:06:脂,123a0204,舌音,次清,徹,透開3
郪,郪,取私,取私,159,切2 切3 王3 P3696-1 広 次私 王2,1:6:脂,1:06:脂,123a0305,齒音,次清,清,清開4
茨,茨,疾資,疾脂,160,切2 切3 西 王2 王3 P3696-1 疾資 広,1:6:脂,1:06:脂,123a0505,齒音,全濁,從,從開4
尼,尼,女夷,女脂,161,切3 王2 王3 P3696-1 女指 切2 女夷 広,1:6:脂,1:06:脂,123a0801,舌音,清濁,孃,泥開3
墀,墀,直尼,直尼,162,切2 切3 王2 王3 P3696-1 広,1:6:脂,1:06:脂,123a0904,舌音,全濁,澄,定開3
私,私,息夷,息脂,163,切3 王2 王3 息[  ] 西 息指 切2 息兹 P3696-1 息夷。広,1:6:脂,1:06:脂,123b0301,齒音,全清,心,心開4
尸,尸,式之,式脂,164,切3 王2 王3 P3696-1 式指 切2 式之 広,1:6:脂,1:06:脂,123b0401,齒音,全清,審三,書開3
鬐,鬐,渠脂,渠脂,165,切3 王2 王3 P3696-1 広 渠指 切2,1:6:脂,1:06:脂,123b0601,牙音,全濁,羣,羣開B
伊,伊,於脂,於脂,166,切3 西 王2 王3 P3696-1 広 於指 切2,1:6:脂,1:06:脂,123b0804,喉音,全清,影,影開A
棃,梨,力脂,力脂,167,切3 王2 王3 P3696-1 広 力指 切2,1:6:脂,1:06:脂,123b1005,半舌音,清濁,來,來開3
